alpha_slope,k,c
0,1,out
-0.0027067159462866304,2,BB
0.012159115021012712,3,HBP
0.0035375307887638777,4,1B
0.006348122191910258,5,2B
0.022357408308685312,6,3B
0.00925577917126536,7,HR
