alpha_incpt,alpha_slope,k,c
0,0,1,out
-0.6950588410797587,0.001,2,BB
-3.466253800721581,0.0027458147621408956,3,HBP
-0.5909793773723077,0.001,4,1B
-1.2504691922790858,0.00211060979118826,5,2B
-3.440561625063284,0.0037295978903927403,6,3B
-0.7054025009198043,0.0029496256786093185,7,HR
