EVENT_WOBA,WOBA_CUMU_BAT,WOBA_CUMU_PIT,HAND_MATCH,BAT_HOME_IND,PIT_REST,DAYS_SINCE_SZN_START,IN_DIV,IN_LEAGUE,PITCH_COUNT_CUMU,FIELD_POS,OUTS_CT,ORDER_CT,BATTER_IDX
0,0.40136363636363637,0.3999166666666667,1,0,5,7,1,1,50,8,1,2,3
0,0.30436363636363634,0.36915384615384617,0,0,5,7,1,1,53,5,2,2,4
0.699,0.41083333333333333,0.09985714285714285,0,1,6,7,1,1,31,9,0,1,7
0,0.5628333333333333,0.087375,0,1,6,7,1,1,37,2,0,1,8
0,0,0.07766666666666666,1,1,6,7,1,1,41,4,2,1,9
0,0.28271428571428575,0.3427857142857143,0,0,5,7,1,1,58,3,0,2,5
0,0.3525,0.31993333333333335,0,0,5,7,1,1,62,4,1,2,6
0.883,0.29433333333333334,0.355125,0,0,5,7,1,1,66,10,2,2,7
0,0,0.3342352941176471,0,0,5,7,1,1,68,9,2,2,8
0,0.26366666666666666,0.06989999999999999,0,1,6,7,1,1,46,6,0,2,1
0.883,0.6833333333333332,0.14381818181818182,1,1,6,7,1,1,48,8,1,2,2
0,0.3979166666666667,0.13183333333333333,0,1,6,7,1,1,51,5,1,2,3
0,0.3237272727272727,0.12169230769230768,0,1,6,7,1,1,56,7,2,2,4
0.699,0.23299999999999998,0.35450000000000004,1,0,5,7,1,1,74,2,0,2,9
0,0.41083333333333333,0.3358421052631579,0,0,5,7,1,1,78,6,0,3,1
0,0.3727272727272727,0.31905,1,0,5,7,1,1,81,7,1,3,2
0,0.36791666666666667,0.3038571428571429,1,0,5,7,1,1,85,8,2,3,3
0,0.26808333333333334,0.11299999999999999,1,1,6,7,1,1,58,10,0,2,5
0,0.5087142857142857,0.10546666666666665,0,1,6,7,1,1,62,3,1,2,6
0,0.35214285714285715,0.09887499999999999,0,1,6,7,1,1,63,9,2,2,7
1.979,0.7651428571428571,0.2094705882352941,0,1,6,7,1,1,64,2,2,2,8
0,0,0.19783333333333333,1,1,6,7,1,1,71,4,2,2,9
0,0.27899999999999997,0.29004545454545455,0,0,5,7,1,1,90,5,0,3,4
0,0.247375,0.27743478260869564,0,0,5,7,1,1,94,3,1,3,5
0,0.3133333333333333,0.26587500000000003,0,0,5,7,1,1,98,4,2,3,6
0,0.24338461538461537,0.18742105263157893,0,1,6,7,1,1,73,6,0,3,1
0,0.5857142857142856,0.17804999999999999,1,1,6,7,1,1,79,8,1,3,2
0,0.36730769230769234,0.16957142857142857,0,1,6,7,1,1,87,5,2,3,3
0.883,0.37033333333333335,0.20199999999999999,0,1,6,7,1,1,90,7,0,3,4
0,0.24746153846153846,0.1932173913043478,1,1,6,7,1,1,94,10,0,3,5
0.883,0.883,0.883,1,0,5,8,1,1,2,8,0,1,1
0,0,0.4415,1,0,5,8,1,1,5,4,0,1,2
0,0,0.29433333333333334,1,0,5,8,1,1,9,5,2,1,3
0,0.2109333333333333,0,1,1,6,8,1,1,5,6,0,1,1
0.699,0.6707777777777778,0.3495,0,1,6,8,1,1,10,9,1,1,2
0.699,0.41153333333333336,0.46599999999999997,1,1,6,8,1,1,17,5,1,1,3
0,0.3464,0.3495,0,1,6,8,1,1,21,10,1,1,4
0,0.31742857142857145,0.27959999999999996,1,1,6,8,1,1,24,7,2,1,5
0.699,0.699,0.39549999999999996,0,0,5,8,1,1,16,10,0,1,4
0.883,0.883,0.493,1,0,5,8,1,1,18,3,0,1,5
0,0,0.41083333333333333,1,0,5,8,1,1,23,6,0,1,6
0.883,0.883,0.47828571428571426,0,0,5,8,1,1,25,9,1,1,7
1.238,1.238,0.57325,0,0,5,8,1,1,27,7,1,1,8
0.699,0.699,0.5872222222222222,1,0,5,8,1,1,43,2,1,1,9
0.699,0.7909999999999999,0.5984,1,0,5,8,1,1,48,8,1,2,1
0,0,0.544,1,0,5,8,1,1,49,4,1,2,2
0.728,0.364,0.5593333333333333,1,0,5,8,1,1,50,5,2,2,3
0,0.3009,0.23299999999999998,0,1,6,8,1,1,29,3,0,1,6
1.238,0.3095,0.3765714285714286,1,1,6,8,1,1,34,4,1,1,7
0,0.17475,0.3295,0,1,6,8,1,1,39,2,1,1,8
0,0,0.2928888888888889,1,1,6,8,1,1,43,8,2,1,9
0.883,0.2529375,0.3519,1,1,6,8,1,1,45,6,0,2,1
0.699,0.6736,0.38345454545454544,0,1,6,8,1,1,50,9,0,2,2
0.883,0.441,0.4250833333333333,1,1,6,8,1,1,52,5,0,2,3
0,0.32475,0.3923846153846154,0,1,6,8,1,1,56,10,0,2,4
0,0.2962666666666667,0.3643571428571429,1,1,6,8,1,1,59,7,1,2,5
0.699,0.33709090909090905,0.38666666666666666,0,1,6,8,1,1,63,3,2,2,6
0,0.2476,0.3625,1,1,6,8,1,1,69,4,2,2,7
1.238,0.38739999999999997,0.41400000000000003,0,1,6,8,1,1,70,2,0,2,8
0,0,0.391,1,1,6,8,1,1,73,8,0,2,9
1.238,0.3108823529411765,0.43557894736842107,1,1,6,8,1,1,77,6,1,3,1
1.979,0.7922727272727272,0.5127499999999999,0,1,6,8,1,1,79,9,1,3,2
0,0.41505882352941176,0.4883333333333333,1,1,6,8,1,1,87,5,1,3,3
0,0.3056470588235294,0.46613636363636357,0,1,6,8,1,1,91,10,2,3,4
0,0.35214285714285715,0,1,0,5,9,1,1,5,8,0,1,1
0,0.20385714285714288,0,1,0,5,9,1,1,11,4,1,1,2
0.699,0.3807142857142857,0.23299999999999998,1,0,5,9,1,1,16,5,1,1,3
0,0.5006666666666667,0.17475,0,0,5,9,1,1,18,7,1,1,4
0,0.14716666666666667,0.13979999999999998,1,0,5,9,1,1,25,3,2,1,5
0,0.33415,0,1,1,6,9,1,1,2,6,0,1,1
0,0.7337857142857143,0,0,1,6,9,1,1,7,8,1,1,2
0,0.38775,0,1,1,6,9,1,1,14,5,2,1,3
0,0.3228333333333333,0.11649999999999999,1,0,5,9,1,1,26,6,0,1,6
0,0.22075,0.09985714285714285,0,0,5,9,1,1,31,9,1,1,7
0,0,0.087375,1,0,5,9,1,1,33,10,2,1,8
0,0.2706842105263158,0,1,1,6,9,1,1,18,7,0,1,4
0,0.35609999999999997,0,1,1,6,9,1,1,23,10,1,1,5
0,0.2152222222222222,0,1,1,6,9,1,1,27,4,2,1,6
0,0.3495,0.07766666666666666,1,0,5,9,1,1,36,2,0,1,9
0,0.308125,0.06989999999999999,1,0,5,9,1,1,37,8,1,2,1
0.883,0.28875,0.14381818181818182,1,0,5,9,1,1,39,4,2,2,2
0,0.2928888888888889,0,0,1,6,9,1,1,31,2,0,1,7
0,0.2465,0,1,1,6,9,1,1,35,9,1,1,8
0,0,0,0,1,6,9,1,1,40,3,2,1,9
0.883,0.4435,0.20541666666666666,1,0,5,9,1,1,41,5,0,2,3
0,0.42914285714285716,0.1896153846153846,0,0,5,9,1,1,45,7,0,2,4
0.883,0.2522857142857143,0.23914285714285713,1,0,5,9,1,1,49,3,1,2,5
0,0.2767142857142857,0.22319999999999998,1,0,5,9,1,1,53,6,1,2,6
0,0.3182380952380952,0,1,1,6,9,1,1,41,6,0,2,1
0,0.6848666666666666,0,0,1,6,9,1,1,46,8,1,2,2
0,0.3692857142857143,0,1,1,6,9,1,1,47,5,2,2,3
0,0.1766,0.20925,0,0,5,9,1,1,56,9,0,2,7
0,0,0.19694117647058823,1,0,5,9,1,1,59,10,1,2,8
0.883,0.4257142857142857,0.23505555555555555,1,0,5,9,1,1,61,2,2,2,9
0.699,0.3515555555555555,0.2594736842105263,1,0,5,9,1,1,65,8,2,3,1
0,0.25666666666666665,0.2465,1,0,5,9,1,1,70,4,2,3,2
0,0.25715,0,1,1,6,9,1,1,49,7,0,2,4
0,0.3237272727272727,0,1,1,6,9,1,1,53,10,1,2,5
0,0.19369999999999998,0,1,1,6,9,1,1,60,4,2,2,6
0,0.39422222222222225,0.23476190476190475,1,0,5,9,1,1,72,5,0,3,3
0,0.3755,0.2240909090909091,0,0,5,9,1,1,75,7,1,3,4
0.883,0.331125,0.2527391304347826,1,0,5,9,1,1,77,3,2,3,5
0,0.24212499999999998,0.24220833333333333,1,0,5,9,1,1,88,6,2,3,6
0,0.2636,0,0,1,6,9,1,1,65,2,0,2,7
0.883,0.30436363636363634,0.051941176470588234,1,1,6,9,1,1,67,9,1,2,8
0.883,0.4415,0.09811111111111111,0,1,6,9,1,1,73,3,1,2,9
0,0.30377272727272725,0.09294736842105263,1,1,6,9,1,1,82,6,1,3,1
0.883,0.69725,0.13245,0,1,6,9,1,1,87,8,2,3,2
1.238,0.3535,0.28204,0,0,5,9,1,1,93,9,0,3,7
0,0.50216666666666665,0,1,0,6,10,1,1,4,8,0,1,1
0,0.26608333333333334,0,1,0,6,10,1,1,7,4,1,1,2
0,0.2956666666666667,0,1,0,6,10,1,1,8,5,2,1,3
0,0.3306,0,1,1,6,10,1,1,5,6,0,1,1
0.699,0.33861538461538465,0.3495,1,1,6,10,1,1,10,4,1,1,2
0.699,0.3890416666666667,0.46599999999999997,1,1,6,10,1,1,16,5,1,1,3
0,0.23377272727272727,0.3495,1,1,6,10,1,1,22,7,1,1,4
0,0.5871578947368421,0.27959999999999996,0,1,6,10,1,1,31,8,2,1,5
0.699,0.3258571428571428,0.17475,0,0,6,10,1,1,16,10,0,1,4
0.699,0.30436363636363634,0.27959999999999996,1,0,6,10,1,1,27,3,0,1,5
0.699,0.6108888888888889,0.3495,0,0,6,10,1,1,34,9,0,1,6
0,0.3004,0.29957142857142854,0,0,6,10,1,1,39,7,0,1,7
0,0,0.262125,1,0,6,10,1,1,44,6,1,1,8
0.699,0.699,0.31066666666666665,1,0,6,10,1,1,50,2,2,1,9
0.699,0.5173076923076922,0.3495,1,0,6,10,1,1,55,8,2,2,1
0,0.25435714285714284,0.23299999999999998,1,1,6,10,1,1,35,10,0,1,6
0.699,0.4003571428571429,0.29957142857142854,1,1,6,10,1,1,39,9,1,1,7
