k,c,pc,alpha_line
2,BB,70,-0.6250588410797586
2,BB,71,-0.6240588410797587
2,BB,72,-0.6230588410797586
2,BB,73,-0.6220588410797587
2,BB,74,-0.6210588410797587
2,BB,75,-0.6200588410797587
2,BB,76,-0.6190588410797587
2,BB,77,-0.6180588410797587
2,BB,78,-0.6170588410797587
2,BB,79,-0.6160588410797587
2,BB,80,-0.6150588410797587
2,BB,81,-0.6140588410797587
2,BB,82,-0.6130588410797587
2,BB,83,-0.6120588410797587
2,BB,84,-0.6110588410797587
2,BB,85,-0.6100588410797587
2,BB,86,-0.6090588410797587
2,BB,87,-0.6080588410797587
2,BB,88,-0.6070588410797587
2,BB,89,-0.6060588410797587
2,BB,90,-0.6050588410797587
2,BB,91,-0.6040588410797587
2,BB,92,-0.6030588410797587
2,BB,93,-0.6020588410797587
2,BB,94,-0.6010588410797587
2,BB,95,-0.6000588410797587
2,BB,96,-0.5990588410797587
2,BB,97,-0.5980588410797587
2,BB,98,-0.5970588410797587
2,BB,99,-0.5960588410797587
2,BB,100,-0.5950588410797587
2,BB,101,-0.5940588410797587
2,BB,102,-0.5930588410797587
2,BB,103,-0.5920588410797587
2,BB,104,-0.5910588410797587
2,BB,105,-0.5900588410797587
2,BB,106,-0.5890588410797587
2,BB,107,-0.5880588410797587
2,BB,108,-0.5870588410797587
2,BB,109,-0.5860588410797587
2,BB,110,-0.5850588410797587
2,BB,111,-0.5840588410797587
2,BB,112,-0.5830588410797587
2,BB,113,-0.5820588410797587
2,BB,114,-0.5810588410797587
2,BB,115,-0.5800588410797587
2,BB,116,-0.5790588410797587
2,BB,117,-0.5780588410797587
2,BB,118,-0.5770588410797587
2,BB,119,-0.5760588410797587
2,BB,120,-0.5750588410797587
2,BB,121,-0.5740588410797587
2,BB,122,-0.5730588410797587
2,BB,123,-0.5720588410797587
2,BB,124,-0.5710588410797587
2,BB,125,-0.5700588410797587
2,BB,126,-0.5690588410797587
2,BB,127,-0.5680588410797587
2,BB,128,-0.5670588410797587
2,BB,129,-0.5660588410797587
2,BB,130,-0.5650588410797587
2,BB,131,-0.5640588410797587
2,BB,132,-0.5630588410797587
2,BB,133,-0.5620588410797587
2,BB,134,-0.5610588410797587
2,BB,135,-0.5600588410797587
2,BB,136,-0.5590588410797587
2,BB,137,-0.5580588410797587
2,BB,138,-0.5570588410797587
2,BB,139,-0.5560588410797587
2,BB,140,-0.5550588410797587
2,BB,141,-0.5540588410797587
2,BB,142,-0.5530588410797587
2,BB,143,-0.5520588410797587
2,BB,144,-0.5510588410797587
2,BB,145,-0.5500588410797587
2,BB,146,-0.5490588410797587
2,BB,147,-0.5480588410797587
2,BB,148,-0.5470588410797587
2,BB,149,-0.5460588410797587
2,BB,150,-0.5450588410797587
2,BB,151,-0.5440588410797587
2,BB,152,-0.5430588410797587
2,BB,153,-0.5420588410797587
2,BB,154,-0.5410588410797587
2,BB,155,-0.5400588410797587
2,BB,156,-0.5390588410797587
2,BB,157,-0.5380588410797587
2,BB,158,-0.5370588410797587
2,BB,159,-0.5360588410797587
2,BB,160,-0.5350588410797587
2,BB,161,-0.5340588410797587
2,BB,162,-0.5330588410797586
2,BB,163,-0.5320588410797586
2,BB,164,-0.5310588410797586
2,BB,165,-0.5300588410797586
2,BB,166,-0.5290588410797586
2,BB,167,-0.5280588410797586
2,BB,168,-0.5270588410797586
2,BB,169,-0.5260588410797586
2,BB,170,-0.5250588410797586
2,BB,171,-0.5240588410797586
2,BB,172,-0.5230588410797586
2,BB,173,-0.5220588410797586
2,BB,174,-0.5210588410797586
2,BB,175,-0.5200588410797586
2,BB,176,-0.5190588410797587
2,BB,177,-0.5180588410797586
2,BB,178,-0.5170588410797587
2,BB,179,-0.5160588410797586
2,BB,180,-0.5150588410797587
2,BB,181,-0.5140588410797586
2,BB,182,-0.5130588410797587
2,BB,183,-0.5120588410797586
2,BB,184,-0.5110588410797587
2,BB,185,-0.5100588410797586
2,BB,186,-0.5090588410797587
2,BB,187,-0.5080588410797586
2,BB,188,-0.5070588410797587
2,BB,189,-0.5060588410797586
2,BB,190,-0.5050588410797587
2,BB,191,-0.5040588410797586
2,BB,192,-0.5030588410797587
2,BB,193,-0.5020588410797586
2,BB,194,-0.5010588410797587
2,BB,195,-0.5000588410797586
2,BB,196,-0.4990588410797587
2,BB,197,-0.4980588410797587
2,BB,198,-0.4970588410797587
2,BB,199,-0.49605884107975867
2,BB,200,-0.49505884107975867
3,HBP,1,-3.46350798595944
3,HBP,2,-3.4607621711972993
3,HBP,3,-3.4580163564351585
3,HBP,4,-3.4552705416730176
3,HBP,5,-3.4525247269108768
3,HBP,6,-3.449778912148736
3,HBP,7,-3.4470330973865946
3,HBP,8,-3.4442872826244537
3,HBP,9,-3.441541467862313
3,HBP,10,-3.438795653100172
3,HBP,11,-3.436049838338031
3,HBP,12,-3.4333040235758903
3,HBP,13,-3.4305582088137494
3,HBP,14,-3.4278123940516085
3,HBP,15,-3.4250665792894677
3,HBP,16,-3.422320764527327
3,HBP,17,-3.419574949765186
3,HBP,18,-3.416829135003045
3,HBP,19,-3.414083320240904
3,HBP,20,-3.4113375054787634
3,HBP,21,-3.408591690716622
3,HBP,22,-3.405845875954481
3,HBP,23,-3.4031000611923403
