"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"beta_b0",-2.0528835124361,0.364526662007839,0.850317831331867,-3.5145247295178,-2.71622008333675,-2.0970009757615,-1.44654139003115,-0.474016983380015,5.44131634332654,1.13000248226793
"beta_b1",2.37544728952137,0.365023145155275,0.827088877128104,0.842858043936477,1.76350154884194,2.39011911703704,3.05377455380364,3.79654211444936,5.13409091767099,1.13339088164652
"BATTER_IDX1",-2.04604860692095,0.365403278478753,0.824274050232867,-3.4636595793451,-2.75590393793591,-2.04935341049462,-1.43231393281454,-0.491171307857146,5.08860073110945,1.13218201818283
"BATTER_IDX2",-2.04323264319744,0.365420316945537,0.824266028976396,-3.46341359142389,-2.75380774320837,-2.04841543125254,-1.42876926811153,-0.490667944442988,5.08802718175566,1.13214849312705
"BATTER_IDX3",-2.02923511162868,0.365438030561556,0.824327762876371,-3.44636006073469,-2.741365978875,-2.03489499564242,-1.41769358063351,-0.476049526295914,5.08829603347846,1.13209940110083
"BATTER_IDX4",-2.03394561296865,0.365427186705659,0.824226853978578,-3.45225895274875,-2.74341237912844,-2.04038963967629,-1.42114431534521,-0.480898031829308,5.08735227230691,1.13220809526168
"BATTER_IDX5",-2.04920019500366,0.36540358006107,0.824180835781942,-3.46659855534545,-2.76092124291909,-2.0528124246349,-1.43584089029542,-0.495218686849033,5.08744149207438,1.13227011903812
"BATTER_IDX6",-2.06116697923934,0.365411802820179,0.824263024803845,-3.47608322758322,-2.77380435074623,-2.06416785033663,-1.44894740989665,-0.510330179004884,5.0882271974722,1.13212044699899
"BATTER_IDX7",-2.07309134006402,0.365466313267097,0.824279502498065,-3.49161882868908,-2.78308737387759,-2.07771113086106,-1.45898689521577,-0.51877078922752,5.08691283760147,1.1321270904291
"BATTER_IDX8",-2.08685101717098,0.365431514034255,0.824318834988696,-3.50715461509665,-2.80055745220867,-2.09341883635524,-1.47568999232205,-0.533219866023572,5.08836728734777,1.13218644821208
"BATTER_IDX9",-2.14194864187751,0.36539042991531,0.824214716991972,-3.56237193893989,-2.85520434991142,-2.14762595995122,-1.52679491709757,-0.58951832071801,5.08822600305607,1.13219163449866
"BATTER_IDX10",-2.12452128091594,0.365470180905882,0.824160843474921,-3.54678917951997,-2.8349431481064,-2.13028075067847,-1.51016011394671,-0.563889684793958,5.08534073722625,1.13219703740706
"BATTER_IDX11",-2.10833327668208,0.365385263655787,0.823664763061004,-3.51135196809732,-2.81393652745604,-2.11206772858724,-1.49659282010572,-0.554605547181415,5.0815817681171,1.13242194410223
"BATTER_IDX12",-2.11298200205365,0.365704865415464,0.824081899871862,-3.54330401884927,-2.81584429708213,-2.11882949462954,-1.50187188728511,-0.554207599323878,5.07784306094978,1.13207090717812
"BATTER_IDX13",-2.11054834479836,0.365982747728895,0.824374566570506,-3.55989425335114,-2.81856977779778,-2.1232947536378,-1.48889488008055,-0.553769650725538,5.07373689128305,1.13236132314859
"BATTER_IDX14",-2.11066857838635,0.365966240255519,0.824364690041755,-3.56498354330439,-2.81979922934889,-2.11909986233197,-1.48849394807938,-0.558071325176058,5.07407303571414,1.13272287751304
"BATTER_IDX15",-2.11020335528865,0.365748389026147,0.824869285795412,-3.57148979848867,-2.81235000862024,-2.11514180575095,-1.49893454484816,-0.557964408385741,5.08634040218817,1.13162520460557
"BATTER_IDX16",-2.10997246927623,0.36580403604544,0.825176709868418,-3.56818372030691,-2.81319278009058,-2.11787753744955,-1.50171633284517,-0.546216857678168,5.08858387933979,1.13146446766641
"ORDER_CT1",2.37247563697383,0.365415987901047,0.824257572762926,0.81936881272506,1.75959920861709,2.37697672756453,3.08426599114634,3.79106399995061,5.08804333818484,1.13218189581076
"ORDER_CT2",2.38573784561303,0.365432570675194,0.824253128977589,0.832250440786065,1.77338717296488,2.39060293533984,3.0968497750023,3.80587754804491,5.08752671654596,1.13215159576166
"ORDER_CT3",2.3883205842129,0.365400076353871,0.824303555935521,0.835408730801672,1.77553411082737,2.3940755596721,3.09961160023957,3.80605094914585,5.08905423364081,1.13206295934518
"ORDER_CT4",2.37683575293221,0.365349931952648,0.824069413576861,0.818227503476595,1.76438279895016,2.38102840199002,3.08778724311336,3.78890562730283,5.08755981683826,1.13205172888959
"tau_b",0.219526772640342,0.00661228646264418,0.0520098431676701,0.13962767000369,0.184623175111961,0.209107181505334,0.247445589653787,0.350089951007668,61.8682409252154,1.00534884309918
"tau_o",0.0707731461731098,0.00828713263569695,0.0630159249015025,0.014295893334861,0.0317009058183501,0.0508676594640784,0.0841633516665122,0.248135486881244,57.8218589842202,1.00659722245401
"sigma",0.517808604585376,1.87643328333501e-05,0.0004935830510133,0.516820675932851,0.51748161618148,0.51780359173061,0.518147634136988,0.518772893472077,691.917350411686,0.999277166439868
