"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"beta_b0",0.504027874061421,2.77674699535802e-05,0.000471104967044593,0.503192780221929,0.503735124497102,0.504005352759653,0.504338551704131,0.50497626929416,287.847687771336,0.996002402571908
"beta_b1",-0.0850730736990872,0.323575924324043,0.554987833862068,-0.938455116502374,-0.517049098107042,-0.216018524506423,0.25759388247653,1.07674832202169,2.9418093558913,1.96301438383431
"BATTER_IDX1",-0.234956410971064,0.323179105297016,0.554795298785065,-1.40248267578646,-0.599176159059444,-0.113402583121713,0.195774502314726,0.61717251952009,2.94699226537933,1.95891804356208
"BATTER_IDX2",-0.0850869801266678,0.323379222020804,0.55498148683159,-0.938352201114653,-0.515666104074835,-0.215844181242872,0.257679333308273,1.07737010870041,2.94532191223771,1.95869906663302
"BATTER_IDX3",-0.0882523698323444,0.323302811055252,0.554965995910167,-0.941009418071608,-0.517264715366773,-0.215859437589796,0.253925185120758,1.07586673296337,2.94654980225763,1.9570087208424
"BATTER_IDX4",-0.0896176781499592,0.323358418627791,0.5550032365988,-0.94172809132905,-0.51765348684141,-0.217752456357626,0.253269507969874,1.07119859056954,2.94593179036627,1.95687857221263
"BATTER_IDX5",-0.0845846859528578,0.323330969294445,0.554889093007949,-0.939566399231602,-0.515047175767402,-0.21445970403964,0.260123103247173,1.07694382558187,2.94522018506125,1.95844301942504
"BATTER_IDX6",-0.0832041765763742,0.323360001712054,0.554906279370888,-0.939149984783544,-0.511510592787823,-0.211578838169969,0.259476276939087,1.07886837985175,2.9448737563688,1.95863242213842
"BATTER_IDX7",-0.0813728952660969,0.323334448308496,0.554989897017277,-0.937731627326251,-0.507945008183385,-0.209954306598752,0.262541683570624,1.07875483148202,2.94622696733287,1.95732008806283
"BATTER_IDX8",-0.0792696552874837,0.323405627820585,0.555051527860828,-0.935085353182779,-0.50596322708001,-0.208946321771151,0.263901282739605,1.08113848540828,2.94558431558611,1.95839650153735
"BATTER_IDX9",-0.0758860655865013,0.323423384141416,0.555001740429175,-0.931710438925841,-0.505554416891611,-0.206719623642323,0.26540466955048,1.08588660618511,2.94473254365877,1.96045648992303
"BATTER_IDX10",-0.0779978962002078,0.323391213513237,0.555110299620761,-0.933439759441967,-0.508072395342763,-0.207264683928653,0.265783734891877,1.08276597690467,2.94647078108149,1.95698547157034
"BATTER_IDX11",-0.0827315486837401,0.323516276728503,0.55538121610658,-0.936207118193868,-0.513749642859935,-0.210582534979173,0.26397890197001,1.08259171273887,2.94706763329288,1.95406519582467
"BATTER_IDX12",-0.0820289791981425,0.323457308433547,0.555090871254669,-0.935001037508416,-0.511762623831574,-0.208744899868062,0.263761624051793,1.0808326028495,2.94506058691791,1.95674727985594
"BATTER_IDX13",-0.0825346679128092,0.323820997121653,0.555635315533795,-0.933692950767293,-0.512744267215119,-0.210609066724408,0.262654378899448,1.07949647957886,2.94421601628277,1.95720285057625
"BATTER_IDX14",-0.0819661636051698,0.323790682558226,0.555649477948211,-0.934930411021392,-0.51629721756442,-0.208534137028864,0.264330451878802,1.08168206583748,2.94491745878681,1.95603384729058
"BATTER_IDX15",-0.0820674156213468,0.323763895934853,0.555661120415992,-0.938186015300132,-0.517244845729095,-0.208143418596085,0.264690601503505,1.07743158911539,2.94552820558901,1.95585864950871
"BATTER_IDX16",-0.0821997498401771,0.323769726038884,0.555578824128278,-0.938285948148507,-0.515879781050235,-0.207834000126847,0.262367536733721,1.07542141174353,2.94454972669512,1.9569988669743
"ORDER_CT1",-0.0824487635927827,0.323771326094162,0.555590916930857,-0.936328482363154,-0.519021465521234,-0.207806965439898,0.261673430040471,1.07287790600019,2.94464880629891,1.95771895607236
"ORDER_CT2",-0.235462909676707,0.323737291444427,0.555682874983162,-1.39835126421104,-0.580644615080089,-0.109392590146183,0.191463826425354,0.617036778991114,2.94624303001432,1.9579373432805
"ORDER_CT3",-0.223102543193296,0.323712732597833,0.555620147017593,-1.38660862193274,-0.567622088161919,-0.0963617333642966,0.203359769392069,0.62903905406588,2.94602485381167,1.9579597419833
