bad_subs_games
BOS200005100
CHA200009060
DET200010010
OAK200009270
CIN200008220
HOU200009120
HOU200009160
MIL200006300
SFN200009200
SLN200004230
BAL200105240
BAL200110052
CHA200107020
CLE200108010
DET200109090
KCA200107080
NYA200106010
OAK200107020
TBA200104220
TEX200105060
ARI200105070
ATL200105280
ATL200110070
CHN200110040
COL200108010
MIL200107120
MON200107160
MON200107180
SDN200107190
SFN200109060
SLN200105090
SLN200105300
SLN200106170
SLN200108020
ANA200206120
BOS200207280
TEX200208160
TOR200206060
ATL200208150
CIN200204260
CIN200206230
COL200208290
FLO200206200
HOU200206220
PHI200208050
SLN200208250
BOS200309160
KCA200304030
TEX200306140
TEX200308170
CHN200309030
FLO200306210
HOU200307120
MON200306050
BOS200406250
MIN200404060
MIN200406100
NYA200407010
NYA200407050
TBA200408310
MIL200405260
PHI200405020
BOS200507010
BOS200507310
CLE200506220
MIN200506290
MIN200507010
SDN200506220
WAS200504300
WAS200506300
NYA200606270
OAK200605300
CHN200607280
PIT200608250
SFN200606270
ANA200709170
CHA200707062
CHA200709300
NYA200709040
SEA200709160
HOU200705010
HOU200706290
HOU200708230
HOU200709110
LAN200706170
MIL200706240
SLN200706200
WAS200706230
BOS200809131
CHA200806290
OAK200805070
CHN200804050
CHN200808040
CHN200808090
CIN200805170
FLO200804010
FLO200806060
MIL200805120
PHI200807110
SDN200807070
SFN200809240
SLN200806130
ANA200904120
BOS200906180
DET200906190
KCA200906190
MIN200905280
MIN200907120
TOR200908240
CHN200905260
CHN200907122
FLO200906300
FLO200908010
FLO200909130
LAN200905230
NYN200908190
PHI200908290
SDN200906070
SFN200908300
SLN200910040
WAS200905162
WAS200907230
ANA201007300
BAL201007220
BOS201008020
TBA201006110
NYN201004250
PHI201004140
PHI201005030
PIT201008210
SLN201004180
WAS201005050
BOS201105090
BOS201107100
MIN201107020
MIN201108180
ATL201105010
ATL201105300
CHN201105140
COL201108230
PIT201108222
SLN201107060
NYA201207290
NYA201209010
TBA201204300
TBA201208210
TEX201206230
TEX201207060
TOR201206110
TOR201208180
ARI201209300
ARI201210010
CHN201207180
LAN201205180
LAN201209030
MIA201209180
NYN201204200
SDN201205200
SLN201206100
WAS201209060
CHA201309090
DET201307280
SEA201306290
TBA201308140
ARI201307260
ARI201308270
ATL201309150
LAN201304150
MIL201308310
PHI201308240
SLN201309280
BAL201407130
KCA201405170
OAK201406220
OAK201409210
SEA201409120
CHN201404080
CHN201405210
SDN201409190
BOS201509210
DET201507210
TBA201504210
TBA201506160
TEX201505010
TOR201507280
CIN201506060
CIN201509120
COL201505080
PIT201509100
ANA201606230
BAL201606190
BAL201607100
CLE201604060
HOU201608070
SEA201609200
TBA201606160
TEX201609020
TEX201609160
TOR201605280
ARI201607160
ATL201604220
ATL201606150
ATL201606270
CHN201604150
CHN201607310
CHN201609030
CIN201605060
CIN201606280
MIA201604190
MIL201609210
PIT201605230
PIT201605250
PIT201609230
SDN201605220
SFN201604090
SFN201604180
SFN201609170
SLN201605070
SLN201607150
ANA201706150
BAL201704230
BAL201705070
BAL201706070
BAL201706220
BOS201704150
BOS201705040
CLE201704160
CLE201705240
CLE201705270
CLE201706010
CLE201706110
DET201704120
DET201704290
DET201706020
HOU201704050
HOU201709220
KCA201704280
KCA201706190
MIN201704220
MIN201707070
MIN201708200
NYA201704300
NYA201705270
OAK201704190
OAK201705200
SEA201706040
SEA201706200
TBA201704080
TBA201705200
TBA201706190
TEX201704040
TEX201705160
TEX201706040
TEX201706200
TEX201709140
TOR201704110
TOR201704140
TOR201704180
ARI201706070
ARI201706110
ATL201705220
CHN201704170
CHN201705020
CHN201705220
CHN201706070
CHN201706090
CHN201706200
CHN201708140
CHN201708200
CHN201710010
CIN201704210
CIN201706060
COL201706210
LAN201704040
MIA201705290
MIL201704060
MIL201705110
MIL201706020
MIL201706170
NYN201706010
NYN201708160
PHI201704100
PHI201705220
PHI201709210
PIT201704090
PIT201706140
PIT201706160
SDN201705040
SDN201705080
SDN201705310
SDN201706120
SFN201704140
SLN201710010
ANA201804190
ANA201807070
ANA201807200
ANA201807230
ANA201809120
BOS201808030
BOS201809070
BOS201809300
CHA201808170
CHA201809250
CLE201807090
CLE201809200
DET201803300
HOU201806180
HOU201806240
KCA201809010
MIN201806070
MIN201807140
NYA201804050
NYA201806300
OAK201809220
SEA201805290
SEA201808180
TBA201805260
TEX201809210
TOR201805230
ARI201805050
ATL201803300
ATL201808170
CHN201804290
CHN201806300
CHN201807200
CHN201808030
CHN201809260
CIN201806100
COL201809280
LAN201804150
LAN201804230
LAN201805110
LAN201805210
LAN201807150
MIA201803300
MIA201804010
MIA201804110
MIA201806120
MIL201805210
MIL201806230
MIL201808080
NYN201805230
NYN201809300
PHI201807200
PHI201809112
PIT201804040
PIT201804180
PIT201807270
SFN201805150
SLN201804240
ANA201904220
ANA201904240
ANA201905200
ANA201909110
ANA201909250
BAL201904240
BAL201908200
BAL201908240
BAL201908250
BAL201909170
BOS201905120
BOS201908070
BOS201908110
BOS201909040
CHA201906150
CHA201907310
CHA201908100
CLE201905160
CLE201905210
CLE201905250
CLE201906090
CLE201907170
CLE201909020
DET201905180
DET201905190
DET201905220
DET201906150
DET201908130
HOU201907070
HOU201908280
KCA201908160
KCA201908170
KCA201909150
MIN201905111
MIN201905120
MIN201906260
MIN201907180
MIN201907220
MIN201907230
MIN201908040
MIN201908090
MIN201908230
OAK201905090
OAK201906010
OAK201907030
OAK201907040
OAK201907130
OAK201907280
OAK201908170
SEA201905180
SEA201908110
SEA201909120
SEA201909250
TBA201906020
TBA201906120
TBA201907060
TBA201907200
TBA201907240
TBA201909200
TEX201906050
TEX201908201
TEX201908202
TEX201909120
TOR201906290
TOR201907020
TOR201908090
TOR201909130
TOR201909240
ARI201905010
ARI201909170
ARI201909280
ATL201905280
ATL201906110
ATL201908200
ATL201909020
CHN201904230
CHN201905040
CHN201905070
CHN201905220
CHN201905230
CHN201907210
CHN201909010
CHN201909190
CIN201905060
CIN201907300
CIN201908160
CIN201909060
CIN201909240
COL201905090
COL201905260
COL201906020
COL201907120
COL201907130
COL201908260
COL201909120
LAN201904120
LAN201905150
LAN201906170
LAN201908200
LAN201908230
LAN201909020
LAN201909200
LAN201909220
MIA201904300
MIA201905030
MIA201905170
MIA201906290
MIA201908130
MIA201908240
MIL201905220
MIL201906300
MIL201909050
MIL201909180
NYN201904220
NYN201904290
NYN201905200
NYN201909260
PHI201906110
PHI201906210
PHI201907120
PHI201908030
PHI201909140
PIT201907040
PIT201907050
PIT201909080
PIT201909170
PIT201909180
PIT201909190
PIT201909270
PIT201909290
SDN201905040
SDN201907120
SDN201907140
SDN201909100
SFN201904070
SFN201907060
SFN201909270
SLN201907170
SLN201907260
SLN201909270
WAS201904260
WAS201905270
WAS201906140
WAS201907020
WAS201909150
