alpha_incpt,k,c
-0,1,out
-0.5313460423153464,2,BB
-1.803679483134467,3,HBP
-0.47524108907565094,4,1B
-0.9427095150085072,5,2B
-1.510327909464375,6,3B
-0.5652021872377948,7,HR
