alpha_incpt,alpha_slope,k,c
0,0,1,out
-0.6950588410797587,0,2,BB
-3.466253800721581,0,3,HBP
-0.5909793773723077,0,4,1B
-1.2504691922790858,0,5,2B
-3.440561625063284,0,6,3B
-0.7054025009198043,0,7,HR
